Datetime,Water Level (m)
2024-07-31 12:00:00,0.30606526
2024-07-31 13:00:00,0.28263882
2024-07-31 14:00:00,0.30287877
2024-07-31 15:00:00,0.36271974
2024-07-31 16:00:00,0.41559687
2024-07-31 17:00:00,0.46232012
2024-07-31 18:00:00,0.49650708
2024-07-31 19:00:00,0.50724745
2024-07-31 20:00:00,0.4817591
2024-07-31 21:00:00,0.43698236
2024-07-31 22:00:00,0.3992657
2024-07-31 23:00:00,0.3631509
2024-08-01 00:00:00,0.32700086
2024-08-01 01:00:00,0.2993447
2024-08-01 02:00:00,0.3190213
2024-08-01 03:00:00,0.4075868
2024-08-01 04:00:00,0.4933428
2024-08-01 05:00:00,0.5792482
2024-08-01 06:00:00,0.6553805
2024-08-01 07:00:00,0.71630496
2024-08-01 08:00:00,0.7548513
2024-08-01 09:00:00,0.75127506
2024-08-01 10:00:00,0.72605115
2024-08-01 11:00:00,0.70101196
2024-08-01 12:00:00,0.67788804
2024-08-01 13:00:00,0.6579203
2024-08-01 14:00:00,0.63936913
2024-08-01 15:00:00,0.6466367
2024-08-01 16:00:00,0.7237692
2024-08-01 17:00:00,0.793868
2024-08-01 18:00:00,0.84457034
2024-08-01 19:00:00,0.8767095
2024-08-01 20:00:00,0.88320225
2024-08-01 21:00:00,0.85121524
2024-08-01 22:00:00,0.80723244
2024-08-01 23:00:00,0.7712603
2024-08-02 00:00:00,0.7381634
2024-08-02 01:00:00,0.7085946
2024-08-02 02:00:00,0.6809519
2024-08-02 03:00:00,0.6847999
2024-08-02 04:00:00,0.7753388
2024-08-02 05:00:00,0.8692633
2024-08-02 06:00:00,0.95286286
2024-08-02 07:00:00,1.0280747
2024-08-02 08:00:00,1.0848176
2024-08-02 09:00:00,1.101186
2024-08-02 10:00:00,1.060448
2024-08-02 11:00:00,1.0212221
2024-08-02 12:00:00,0.9883697
2024-08-02 13:00:00,0.9568054
2024-08-02 14:00:00,0.9214632
2024-08-02 15:00:00,0.88391924
2024-08-02 16:00:00,0.8659057
2024-08-02 17:00:00,0.9301534
2024-08-02 18:00:00,1.0119894
2024-08-02 19:00:00,1.0712469
2024-08-02 20:00:00,1.11114
2024-08-02 21:00:00,1.1148058
2024-08-02 22:00:00,1.0659494
2024-08-02 23:00:00,1.016382
2024-08-03 00:00:00,0.97384095
2024-08-03 01:00:00,0.936016
2024-08-03 02:00:00,0.899313
2024-08-03 03:00:00,0.8647921
2024-08-03 04:00:00,0.8615067
2024-08-03 05:00:00,0.95603144
2024-08-03 06:00:00,1.061633
2024-08-03 07:00:00,1.1467538
2024-08-03 08:00:00,1.2171614
2024-08-03 09:00:00,1.2598437
2024-08-03 10:00:00,1.2429171
2024-08-03 11:00:00,1.1968833
2024-08-03 12:00:00,1.1617957
2024-08-03 13:00:00,1.1289566
2024-08-03 14:00:00,1.0941594
2024-08-03 15:00:00,1.0513546
2024-08-03 16:00:00,1.0053723
2024-08-03 17:00:00,0.99143666
2024-08-03 18:00:00,1.0764654
2024-08-03 19:00:00,1.1617154
2024-08-03 20:00:00,1.2155643
2024-08-03 21:00:00,1.2380161
2024-08-03 22:00:00,1.2092589
2024-08-03 23:00:00,1.1534853
2024-08-04 00:00:00,1.1014371
2024-08-04 01:00:00,1.0546229
2024-08-04 02:00:00,1.0106167
2024-08-04 03:00:00,0.96704936
2024-08-04 04:00:00,0.9228589
2024-08-04 05:00:00,0.91647166
2024-08-04 06:00:00,1.0188342
2024-08-04 07:00:00,1.1279984
2024-08-04 08:00:00,1.2158235
2024-08-04 09:00:00,1.2851244
2024-08-04 10:00:00,1.3129721
2024-08-04 11:00:00,1.2745632
2024-08-04 12:00:00,1.227108
2024-08-04 13:00:00,1.1887655
2024-08-04 14:00:00,1.153531
2024-08-04 15:00:00,1.1151516
2024-08-04 16:00:00,1.0717279
2024-08-04 17:00:00,1.0272677
2024-08-04 18:00:00,1.0405401
2024-08-04 19:00:00,1.1419756
2024-08-04 20:00:00,1.2225847
2024-08-04 21:00:00,1.2710689
2024-08-04 22:00:00,1.278284
2024-08-04 23:00:00,1.232096
2024-08-05 00:00:00,1.1757442
2024-08-05 01:00:00,1.1248032
2024-08-05 02:00:00,1.0795555
2024-08-05 03:00:00,1.0383332
2024-08-05 04:00:00,0.9953799
2024-08-05 05:00:00,0.9580504
2024-08-05 06:00:00,0.99542886
2024-08-05 07:00:00,1.1136913
2024-08-05 08:00:00,1.2238013
2024-08-05 09:00:00,1.3081656
2024-08-05 10:00:00,1.3661139
2024-08-05 11:00:00,1.3636267
2024-08-05 12:00:00,1.3122008
2024-08-05 13:00:00,1.2702804
2024-08-05 14:00:00,1.2352636
2024-08-05 15:00:00,1.2011251
2024-08-05 16:00:00,1.1622425
2024-08-05 17:00:00,1.1175572
2024-08-05 18:00:00,1.087954
2024-08-05 19:00:00,1.1653277
2024-08-05 20:00:00,1.2715306
2024-08-05 21:00:00,1.3468499
2024-08-05 22:00:00,1.3884826
2024-08-05 23:00:00,1.3736284
2024-08-06 00:00:00,1.3181392
2024-08-06 01:00:00,1.2660787
2024-08-06 02:00:00,1.2209343
2024-08-06 03:00:00,1.180902
2024-08-06 04:00:00,1.1400706
2024-08-06 05:00:00,1.0967863
2024-08-06 06:00:00,1.0724009
2024-08-06 07:00:00,1.1606121
2024-08-06 08:00:00,1.2825488
2024-08-06 09:00:00,1.3802974
2024-08-06 10:00:00,1.4518257
2024-08-06 11:00:00,1.4775348
2024-08-06 12:00:00,1.4358841
